Days	Number of times bee returned after trip
06/24/2020	8.0
06/25/2020	5.0
06/26/2020	7.0
06/27/2020	27.0
06/28/2020	41.0
06/29/2020	84.0
06/30/2020	54.0
07/01/2020	83.0
07/02/2020	98.0
07/03/2020	96.0
07/04/2020	106.0
07/05/2020	133.0
07/06/2020	127.0
07/07/2020	123.0
07/08/2020	130.0
07/09/2020	100.0
07/10/2020	116.0
07/11/2020	210.0
07/12/2020	105.0
07/13/2020	86.0
07/14/2020	109.0
07/15/2020	116.0
07/16/2020	135.0
07/17/2020	114.0
07/18/2020	76.0
07/19/2020	96.0
07/20/2020	102.0
07/21/2020	95.0
07/22/2020	94.0
07/23/2020	81.0
07/24/2020	86.0
07/25/2020	83.0
07/26/2020	32.0
07/27/2020	57.0
07/28/2020	91.0
07/29/2020	102.0
07/30/2020	99.0
07/31/2020	114.0
08/01/2020	110.0
08/02/2020	140.0
08/03/2020	103.0
08/04/2020	116.0
08/05/2020	134.0
08/06/2020	112.0
08/07/2020	151.0
08/08/2020	142.0
08/09/2020	107.0
08/10/2020	98.0
08/11/2020	87.0
08/12/2020	102.0
08/13/2020	100.0
08/14/2020	123.0
08/15/2020	100.0
08/16/2020	125.0
08/17/2020	148.0
08/18/2020	163.0
08/19/2020	175.0
08/20/2020	175.0
08/21/2020	204.0
08/22/2020	177.0
08/23/2020	192.0
08/24/2020	186.0
08/25/2020	142.0
08/26/2020	153.0
08/27/2020	163.0
08/28/2020	98.0
08/29/2020	86.0
08/30/2020	93.0
08/31/2020	25.0
09/01/2020	91.0
09/02/2020	81.0
09/03/2020	54.0
09/04/2020	68.0
09/05/2020	44.0
09/06/2020	42.0
09/07/2020	2.0
09/08/2020	0
09/09/2020	0
09/10/2020	0
09/11/2020	0
09/12/2020	18.0
09/13/2020	12.0
09/14/2020	12.0
09/15/2020	12.0
09/16/2020	7.0
09/17/2020	14.0
09/18/2020	12.0
09/19/2020	16.0
09/20/2020	7.0
09/21/2020	4.0
09/22/2020	5.0
09/23/2020	7.0
09/24/2020	0
09/25/2020	3.0
09/26/2020	3.0
09/27/2020	0
09/28/2020	0
09/29/2020	13.0
09/30/2020	2.0
10/01/2020	1.0
10/02/2020	5.0
10/03/2020	5.0
10/04/2020	7.0
10/05/2020	6.0
10/06/2020	5.0
10/07/2020	3.0
10/08/2020	4.0
10/09/2020	1.0
